,Date,Round,Home,Away,Home Score,Away Score,Home Elo Pre,Away Elo Pre,Home Elo Pre + Advantage,Home Elo Post,Away Elo Post,Home Elo Change,Away Elo Change,Result,Year
0,2012-03-24,R1,GWS,Sydney,37,100,1500.0,1500.0,1500.0,1462.86,1537.14,-37.14,37.14,Away Win,2012
1,2012-03-29,R1,Richmond,Carlton,81,125,1500.0,1500.0,1550.0,1467.97,1532.03,-32.03,32.03,Away Win,2012
2,2012-03-30,R1,Hawthorn,Collingwood,137,115,1500.0,1500.0,1550.0,1514.04,1485.96,14.04,-14.04,Home Win,2012
3,2012-03-31,R1,Melbourne,Brisbane Lions,78,119,1500.0,1500.0,1550.0,1469.69,1530.31,-30.31,30.31,Away Win,2012
4,2012-03-31,R1,Gold Coast,Adelaide,68,137,1500.0,1500.0,1550.0,1454.39,1545.61,-45.61,45.61,Away Win,2012
5,2012-03-31,R1,North Melbourne,Essendon,102,104,1500.0,1500.0,1550.0,1496.33,1503.67,-3.67,3.67,Away Win,2012
6,2012-03-31,R1,Fremantle,Geelong,105,101,1500.0,1500.0,1550.0,1504.14,1495.86,4.14,-4.14,Home Win,2012
7,2012-04-01,R1,Footscray,West Coast,87,136,1500.0,1500.0,1550.0,1465.16,1534.84,-34.84,34.84,Away Win,2012
8,2012-04-01,R1,Port Adelaide,St Kilda,89,85,1500.0,1500.0,1500.0,1504.83,1495.17,4.83,-4.83,Home Win,2012
9,2012-04-05,R2,Brisbane Lions,Carlton,63,154,1530.31,1532.03,1580.31,1473.87,1588.46,-56.43,56.43,Away Win,2012
10,2012-04-07,R2,Collingwood,Richmond,85,64,1485.96,1467.97,1535.96,1498.53,1455.4,12.57,-12.57,Home Win,2012
11,2012-04-07,R2,Adelaide,Footscray,82,64,1545.61,1465.16,1545.61,1555.81,1454.95,10.2,-10.2,Home Win,2012
12,2012-04-07,R2,Essendon,Port Adelaide,111,86,1503.67,1504.83,1553.67,1519.2,1489.3,15.53,-15.53,Home Win,2012
13,2012-04-07,R2,Sydney,Fremantle,94,81,1537.14,1504.14,1587.14,1545.36,1495.93,8.21,-8.21,Home Win,2012
14,2012-04-07,R2,West Coast,Melbourne,166,58,1534.84,1469.69,1584.84,1571.61,1432.93,36.77,-36.77,Home Win,2012
15,2012-04-08,R2,North Melbourne,GWS,183,54,1496.33,1462.86,1546.33,1545.07,1414.12,48.74,-48.74,Home Win,2012
16,2012-04-08,R2,St Kilda,Gold Coast,139,47,1495.17,1454.39,1545.17,1531.28,1418.28,36.11,-36.11,Home Win,2012
17,2012-04-09,R2,Geelong,Hawthorn,92,90,1495.86,1514.04,1545.86,1498.73,1511.16,2.88,-2.88,Home Win,2012
18,2012-04-13,R3,Carlton,Collingwood,122,62,1588.46,1498.53,1638.46,1609.06,1477.94,20.6,-20.6,Home Win,2012
19,2012-04-14,R3,Footscray,St Kilda,40,103,1454.95,1531.28,1504.95,1422.59,1563.64,-32.36,32.36,Away Win,2012
20,2012-04-14,R3,Gold Coast,Essendon,88,105,1418.28,1519.2,1468.28,1407.64,1529.85,-10.64,10.64,Away Win,2012
21,2012-04-14,R3,Fremantle,Brisbane Lions,64,35,1495.93,1473.87,1545.93,1511.77,1458.04,15.84,-15.84,Home Win,2012
22,2012-04-14,R3,Port Adelaide,Sydney,83,105,1489.3,1545.36,1489.3,1476.13,1558.53,-13.17,13.17,Away Win,2012
